date,model_monthly_return,spy_monthly_return
2025-04-30,0.009162000000000002,-0.008670290259329527
2025-05-31,0.1643939,0.06284509736034405
2025-06-30,0.028837599999999998,0.05138605630198745
2025-07-31,0.013987099999999997,0.02303154344336633
2025-08-31,0.0011613,0.020519537835420598
2025-09-30,0.06972529999999999,0.035620412937162005
2025-10-31,0.0017559999999999967,0.023837414102428234
2025-11-30,-0.017463555555555555,0.0019499438514807288
2025-12-31,-0.0145552,0.0007975195784812872
2026-01-31,-0.022855285714285713,0.0147377327962257
2026-02-28,-0.0054681666666666654,-0.008641951723092456
2026-03-31,-0.013761666666666667,-0.04937954609873141
