date,ML-Optimised Weights,Equal-Weight,SPY_BH
2005-01-31,1.0213488000000002,1.02376464,1.0209038146023286
2005-02-28,1.0107895241502722,1.010062553582947,0.9983074951061192
2005-03-31,0.9358973183111015,0.9387039977186872,0.9834517631810272
2005-04-30,1.0004174991791315,1.0012094244925414,1.0151432086487353
2005-05-31,1.0398485747506274,1.0377610975813911,1.0125940956556845
2005-06-30,1.0906474652940599,1.0913052738856468,1.0555808375575166
2005-07-31,1.0708748338274028,1.071852386334842,1.045685224440866
2005-08-31,1.105859192785654,1.10589919858648,1.0496093008073588
2005-09-30,1.0826928360793775,1.0754877447547908,1.0291473909960227
2005-10-31,1.1467405701827758,1.1405255215555534,1.0743811662659617
2005-11-30,1.132098023320603,1.1287350424398372,1.0666709298230375
2005-12-31,1.2311007200027249,1.2342025097257578,1.0980762347802928
2006-01-31,1.2258833151513533,1.2272579977802338,1.1043634041749022
2006-02-28,1.2977942188421228,1.3035900334649304,1.118143198149917
2006-03-31,1.3100764654615913,1.3107093036428918,1.1367701054749424
2006-04-30,1.2579662613362168,1.2478933505523175,1.1025292606827857
2006-05-31,1.2635842128627182,1.266636334309608,1.1005404982357212
2006-06-30,1.213473419767641,1.2159872712113897,1.1103554613419206
2006-07-31,1.240381246341721,1.2327832413134696,1.1345860650144073
2006-08-31,1.247545266690967,1.20302705910459,1.1601193811042274
2006-09-30,1.328376943186663,1.2793996606511964,1.201945908181156
2006-10-31,1.3777596681434212,1.3345758436442292,1.2258461808640908
2006-11-30,1.4098675856640894,1.3227417592658828,1.2353547693743754
2006-12-31,1.4555164222167605,1.3733821446722136,1.2609211090187709
2007-01-31,1.4545747030915863,1.362011776558258,1.2361849395411253
2007-02-28,1.475664017692949,1.3568140399763209,1.245570691881646
2007-03-31,1.5205152613068678,1.4118692119136322,1.3059037716526192
2007-04-30,1.5669630796104184,1.477904593945572,1.3502000979253383
2007-05-31,1.5637285544214865,1.4707088574455605,1.3247493407219562
2007-06-30,1.4835860586516865,1.4037249813205452,1.288802247128812
2007-07-31,1.4804813877784673,1.397393620164797,1.3053416076744453
2007-08-31,1.501344894077969,1.451635478326331,1.3494751068254727
2007-09-30,1.499351139336652,1.4462999149110893,1.3742709286777124
2007-10-31,1.463564476407851,1.3383454569962805,1.3210418263361896
2007-11-30,1.4613190465168566,1.3641602671780988,1.2992707139291637
2007-12-31,1.3587455847025076,1.2512375084663714,1.2271941336423169
2008-01-31,1.3030665276838045,1.210855995033884,1.1954805452131596
2008-02-29,1.2668796665541002,1.1859463865896465,1.1789533060300441
2008-03-31,1.2774926469095373,1.2222271849081656,1.2412597817963864
2008-04-30,1.3510071621190345,1.296168434025361,1.2600232691982822
2008-05-31,1.2367338204625309,1.2609550632510325,1.1489685865823203
2008-06-30,1.2689341147830329,1.2751844871959976,1.1443395623138255
2008-07-31,1.3140787553765283,1.2291802940436714,1.1620239621202655
2008-08-31,1.1436150925871793,1.0186901750163686,1.0465343879236875
2008-09-30,0.9029694292834851,0.845678749145489,0.8787180370646455
2008-10-31,0.8165980375926151,0.7486434552716628,0.8175533554699322
2008-11-30,0.8471323714058745,0.7702119356049938,0.8189148612676659
2008-12-31,0.7710165621041533,0.715552690276882,0.7577715590840072
2009-01-31,0.6854506089733023,0.6422575835048931,0.6763501241246614
2009-02-28,0.7219225310819679,0.6849463127852862,0.7274901048641028
2009-03-31,0.8295143132555715,0.7730159699412004,0.8054876366874516
2009-04-30,0.8927724111729907,0.8080570466840648,0.8525712082326008
2009-05-31,0.9242067135050128,0.837556554413918,0.8472274053507708
2009-06-30,1.001592685786363,0.9042168765254296,0.9155778597109776
2009-07-31,1.0186365882018524,0.9093781283722994,0.9493987517859925
2009-08-31,1.0793721428459713,0.9366850075613131,0.978401927201197
2009-09-30,1.0277284385370344,0.8843140121035525,0.9641623804447114
2009-10-31,1.0537031854289132,0.9027408345856393,1.0235617335266394
2009-11-30,1.1413849675239456,0.9897546787317385,1.037526688472394
2009-12-31,1.086883252985408,0.9403013034218561,1.0052032141653875
2010-01-31,1.1300183886466397,0.9828042011462967,1.0365602245601717
2010-02-28,1.2191890211090894,1.0527370689729953,1.0951560362953685
2010-03-31,1.2984906833115215,1.1567316161125272,1.1166770859480961
2010-04-30,1.222995707829007,1.085868826096902,1.027952434628156
2010-05-31,1.0986936527939355,0.9274768541055323,0.9701499517531598
2010-06-30,1.185304727292695,1.0021311506933033,1.0413420543514262
2010-07-31,1.0943258569421297,0.9005942805017761,0.9945020553822193
2010-08-31,1.2546347679379564,1.0436936573178524,1.0777947137497295
2010-09-30,1.2966094021582675,1.068841945887949,1.1249591261929286
2010-10-31,1.3213982717843091,1.140634641541682,1.1249591261929286
2010-11-30,1.4111418983665138,1.2390188468603314,1.1938861565450114
2010-12-31,1.40935166730857,1.2242089289249407,1.2281288147693559
2011-01-31,1.4569755204911277,1.265022854890548,1.2707912386409954
2011-02-28,1.5640480104227916,1.3500720112550078,1.265446290433573
2011-03-31,1.5648842334794666,1.349322583526311,1.3077520408270402
2011-04-30,1.55125603226231,1.3273402461113677,1.293086337506455
2011-05-31,1.5228286449686903,1.3173540814101634,1.2650007587782053
2011-06-30,1.4733206938498629,1.2785045981781737,1.245841084165206
2011-07-31,1.3456299340972113,1.1729570373933675,1.1773499456447567
2011-08-31,1.2241443765474256,0.9606595216285566,1.0899781147368093
2011-09-30,1.3784044405002989,1.0964068410424197,1.2152008567035433
2011-10-31,1.3748539187743694,1.0976033059717758,1.2102629763003505
2011-11-30,1.4342887161975935,1.0871271214575975,1.2152008567035435
2011-12-31,1.536186036893392,1.1588501376128808,1.2796204581875037
2012-01-31,1.5850377667493862,1.1933226612494763,1.3351615911244907
2012-02-29,1.6509415344897065,1.2484644940932508,1.3720935692831318
2012-03-31,1.603152027060309,1.2254185351972302,1.3689066053790222
2012-04-30,1.4967384827537082,1.1300280840949066,1.2866955161457507
2012-05-31,1.5470425802403607,1.181192606089979,1.3320093687633445
2012-06-30,1.533460196143734,1.173968313991872,1.354749808396573
2012-07-31,1.5551239403803268,1.1853157273593535,1.3886902915521742
2012-08-31,1.627058515059918,1.238263780900496,1.4163339654894314
