,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
2025-02-28,-0.036316900000000006,-0.02026085416666667,-0.0205911,-0.028585531914893623,-0.01829415217391304,-0.013140595744680851,-0.018378312500000004,0.0052479574468085105,-0.0031514081632653046,-0.025036173913043473
2025-03-31,-0.07262956,-0.04892962,-0.052140399999999996,-0.045727416666666666,-0.06256204081632653,-0.04491877551020409,-0.05030672,-0.054726978723404256,-0.009014042553191487,-0.02522493333333333
2025-04-30,-0.012652370370370373,-0.017261111111111112,0.004520377358490562,0.002251703703703707,-0.03417969811320755,-0.0365506111111111,-0.014463574074074073,-0.0227251568627451,-0.01860737735849057,-0.00875648
2025-05-31,0.027270676470588232,0.04247214705882354,0.04944104347826087,0.049313449275362325,0.0642758787878788,0.054584447761194026,0.08009283333333334,0.05557763636363636,0.07052016417910448,0.06986782352941176
2025-06-30,0.03198832857142857,0.019537666666666665,0.044402805970149256,0.050111567164179104,0.0424316231884058,0.04858022857142858,0.055527746268656725,0.03798355882352941,0.053313728571428576,0.0365073768115942
2025-07-31,0.0021485072463768118,0.0049813088235294125,0.0016434307692307693,0.04830694029850747,0.005260308823529412,0.009846099999999998,0.029757999999999996,0.025394235294117645,0.016894071428571425,0.007026323529411763
2025-08-31,0.03884645588235294,0.03473932352941177,0.03641640909090909,0.039616250000000006,0.019493850746268655,0.031490257575757574,0.032808393939393936,0.010603876923076924,0.02395055882352941,0.021354875000000002
2025-09-30,0.00480890625,-0.003567707692307691,0.0067654193548387104,0.00225973015873016,-0.001575209677419352,-0.0016777343749999995,0.02117615873015873,0.03377349206349207,0.02749852307692308,0.0362235
2025-10-31,-0.012795830769230769,0.002615015873015873,-0.04229779032258064,-0.006065542372881358,-0.015951265625000002,-0.004678187499999999,0.013540269841269839,0.004645238095238095,-0.003173415384615384,0.015552209677419356
2025-11-30,0.06564896875,0.021394129032258066,0.03145826229508197,0.002941299999999999,0.023965874999999998,0.00888011111111111,-0.0003816349206349176,-0.003836292307692306,0.015457603174603173,-0.0313827213114754
2025-12-31,-0.02238236507936508,-0.022170516666666664,-0.021701360655737707,-0.0018501694915254226,0.010626129032258064,0.03134466129032258,0.011684209677419354,0.005792809523809524,0.026436158730158726,-0.019034935483870963
