date,period_ret
2005-01-31,
2005-03-31,
2005-05-31,
2005-07-31,
2005-09-30,
2005-11-30,0.025161444691703783
2006-01-31,0.008282143132159936
2006-03-31,0.02371496510881014
2006-05-31,-0.025583645541980136
2006-07-31,0.03886150648215998
2006-09-30,0.06277697543178992
2006-11-30,0.03559951390963982
2007-01-31,-0.00471984343035009
2007-03-31,0.053478063120860196
2007-05-31,-0.02655295921692008
2007-07-31,0.07926680378155553
2007-09-30,0.015348011785037053
2007-11-30,-0.09904023468740747
2008-01-31,-0.0471833112664299
2008-03-31,0.09111746508332993
2008-05-31,-0.066832030948
2008-07-31,-0.10421926076992001
2008-09-30,-0.17801669674095993
2008-11-30,-0.01859980984992002
2009-01-31,0.03411247044607994
2009-03-31,0.12603157661303993
2009-05-31,0.06368685046550608
2009-07-31,0.06825486965608003
2009-09-30,0.031912677760109955
2009-11-30,0.013943660071799868
2010-01-31,0.13836675509016014
2010-03-31,-0.05625862612643989
2010-05-31,0.008534754756479947
2010-07-31,0.06491902226255991
2010-09-30,0.08655063498632028
2010-11-30,0.038911369720850006
2011-01-31,0.05085715305425028
2011-03-31,0.010751011296999914
2011-05-31,0.023008114789660083
2011-07-31,-0.08950474520871994
2011-09-30,0.12166254508298975
2011-11-30,0.00697911175451984
2012-01-31,0.13611648057456
2012-03-31,-0.074857078743
2012-05-31,-0.029437382957939916
2012-07-31,0.02805875305871993
2012-09-30,0.03097373331219997
2012-11-30,0.039359011960190024
2013-01-31,0.02419451142571998
2013-03-31,0.014000742342880025
2013-05-31,0.06503899274381013
2013-07-31,0.0479741671714002
2013-09-30,0.08816835812358012
2013-11-30,-0.014788449504148283
2014-01-31,0.06164836984904951
2014-03-31,0.0065023784334072195
2014-05-31,0.0018545446836399143
2014-07-31,0.039112949973120134
2014-09-30,0.0884030279640102
2014-11-30,0.021143343704959915
2015-01-31,0.06786367563330017
2015-03-31,-0.0010121999576296332
2015-05-31,0.03330270597956002
2015-07-31,-0.03091264243143005
2015-09-30,0.07497854464795979
2015-11-30,-0.057467675344599914
2016-01-31,0.07109308800628986
2016-03-31,-0.013912745718249797
2016-05-31,0.03853327271779998
2016-07-31,-0.04578745108984
2016-09-30,0.0823659027438399
2016-11-30,0.04963380112950004
2017-01-31,0.05277801228492013
2017-03-31,0.04842303081424989
2017-05-31,-0.003552738057849858
2017-07-31,0.04063576071557978
2017-09-30,0.11671969227376008
2017-11-30,0.09983285019632011
2018-01-31,-0.058680922308759945
2018-03-31,0.054228354928140085
2018-05-31,-0.01598068950935002
2018-07-31,0.04992783672607022
2018-09-30,-0.09831642040588
2018-11-30,-0.03625184530466659
2019-01-31,0.03145688823500009
2019-03-31,-0.012800831652700139
2019-05-31,0.0953540653997779
2019-07-31,0.012535305923654538
2019-09-30,0.029881346505432116
2019-11-30,-0.0004405219708599632
2020-01-31,-0.18182961359314004
2020-03-31,0.2828825215450001
2020-05-31,0.09652462607110003
2020-07-31,-0.019188108300479945
2020-09-30,0.04399199183049002
2020-11-30,0.06329255064603992
2021-01-31,-0.008472117890518438
2021-03-31,0.07583928239187489
2021-05-31,0.07521959812933324
2021-07-31,-0.058907242960079965
2021-09-30,0.026868729332839493
2021-11-30,-0.03658435197894992
2022-01-31,-0.018035106609899997
2022-03-31,-0.031165372240219945
2022-05-31,0.022920287586440182
2022-07-31,-0.14440863055621997
2022-09-30,0.16134143442232002
2022-11-30,-0.020094651126700013
2023-01-31,0.024472841679990143
2023-03-31,-0.00402308926479995
2023-05-31,0.11315369366977004
2023-07-31,-0.043423423000700054
2023-09-30,0.09131633611380002
2023-11-30,0.044310480854320156
2024-01-31,0.09128548139601997
2024-03-31,0.05011640715520997
2024-05-31,0.06371073743112002
2024-07-31,0.049296881011900065
2024-09-30,0.10681178499375996
