decile,mean_monthly,ann_return,ann_vol,sharpe,max_drawdown,hit_rate,n
D1,1.069,13.6,19.9,0.399,-35.38,63.7,179
D2,1.389,18.01,17.62,0.669,-27.09,61.5,179
D3,1.352,17.48,17.5,0.647,-26.93,67.0,179
D4,1.268,16.33,17.12,0.604,-26.11,65.9,179
D5,1.032,13.11,16.54,0.453,-27.51,60.9,179
D6,1.033,13.13,16.61,0.452,-28.44,62.6,179
D7,1.142,14.59,15.96,0.552,-24.41,63.1,179
D8,1.189,15.23,15.73,0.596,-22.55,65.4,179
D9,1.108,14.14,15.0,0.561,-20.57,64.2,179
D10,1.058,13.46,15.14,0.516,-24.39,64.8,179
