rank,run_id,mom_lookback,mom_skip,ma_short,ma_long,w_momentum,w_ma,ann_return,ann_vol,sharpe,max_drawdown,calmar,n_months
45,mom18_skip0_ma1-6_w5-5,18,0,1,6,0.5,0.5,16.64,19.56,0.536,-15.23,1.093,54
46,mom6_skip1_ma6-12_w7-3,6,1,6,12,0.7,0.3,18.67,22.87,0.535,-24.5,0.762,54
47,mom6_skip1_ma3-12_w7-3,6,1,3,12,0.7,0.3,17.77,21.68,0.529,-22.0,0.808,54
48,mom9_skip1_ma3-12_w3-7,9,1,3,12,0.3,0.7,17.88,22.68,0.51,-16.77,1.066,50
49,mom6_skip1_ma1-12_w7-3,6,1,1,12,0.7,0.3,17.08,21.53,0.505,-21.46,0.796,54
50,mom24_skip0_ma1-6_w5-5,24,0,1,6,0.5,0.5,16.42,20.77,0.496,-16.05,1.024,54
51,mom12_skip0_ma1-12_w5-5,12,0,1,12,0.5,0.5,16.05,20.63,0.483,-18.72,0.857,49
52,mom3_skip1_ma3-12_w5-5,3,1,3,12,0.5,0.5,16.46,21.67,0.477,-21.42,0.768,57
53,mom24_skip0_ma1-6_w7-3,24,0,1,6,0.7,0.3,15.85,20.71,0.473,-16.56,0.957,54
54,mom12_skip0_ma6-12_w3-7,12,0,6,12,0.3,0.7,16.63,22.17,0.473,-19.91,0.836,49
55,mom6_skip1_ma6-12_w5-5,6,1,6,12,0.5,0.5,17.22,23.29,0.472,-25.56,0.674,54
56,mom6_skip1_ma3-12_w5-5,6,1,3,12,0.5,0.5,16.08,21.47,0.466,-22.95,0.7,54
57,mom12_skip0_ma1-12_w3-7,12,0,1,12,0.3,0.7,15.42,20.22,0.466,-15.86,0.972,49
58,mom18_skip1_ma6-12_w3-7,18,1,6,12,0.3,0.7,16.38,22.29,0.461,-19.12,0.857,48
59,mom6_skip0_ma3-12_w3-7,6,0,3,12,0.3,0.7,15.88,21.36,0.46,-22.26,0.713,55
60,mom6_skip0_ma1-12_w7-3,6,0,1,12,0.7,0.3,15.66,21.05,0.458,-21.23,0.738,55
61,mom6_skip0_ma6-12_w5-5,6,0,6,12,0.5,0.5,15.88,21.44,0.458,-24.0,0.661,55
62,mom6_skip0_ma1-12_w5-5,6,0,1,12,0.5,0.5,15.55,21.25,0.449,-24.06,0.646,55
63,mom3_skip1_ma6-12_w7-3,3,1,6,12,0.7,0.3,15.93,22.19,0.445,-22.9,0.696,57
64,mom6_skip0_ma6-12_w7-3,6,0,6,12,0.7,0.3,15.17,21.13,0.436,-22.85,0.664,55
65,mom12_skip0_ma6-12_w5-5,12,0,6,12,0.5,0.5,15.41,21.96,0.429,-21.17,0.728,49
66,mom6_skip0_ma1-12_w3-7,6,0,1,12,0.3,0.7,15.14,21.45,0.428,-22.22,0.682,55
67,mom18_skip1_ma1-6_w3-7,18,1,1,6,0.3,0.7,13.66,18.78,0.419,-17.71,0.771,54
68,mom3_skip0_ma6-12_w3-7,3,0,6,12,0.3,0.7,14.85,21.37,0.418,-16.83,0.882,58
69,mom3_skip1_ma1-12_w3-7,3,1,1,12,0.3,0.7,14.22,20.51,0.408,-21.53,0.661,57
70,mom6_skip1_ma1-12_w5-5,6,1,1,12,0.5,0.5,14.99,22.29,0.406,-24.07,0.623,54
71,mom6_skip1_ma1-6_w7-3,6,1,1,6,0.7,0.3,14.26,20.82,0.404,-21.21,0.672,54
72,mom6_skip0_ma3-12_w5-5,6,0,3,12,0.5,0.5,14.59,21.52,0.404,-22.74,0.642,55
73,mom24_skip1_ma1-6_w3-7,24,1,1,6,0.3,0.7,13.0,18.2,0.4,-16.05,0.81,54
74,mom9_skip1_ma3-12_w7-3,9,1,3,12,0.7,0.3,15.04,22.8,0.399,-15.94,0.943,50
75,mom6_skip0_ma3-12_w7-3,6,0,3,12,0.7,0.3,14.28,21.13,0.399,-21.19,0.674,55
76,mom3_skip0_ma6-12_w5-5,3,0,6,12,0.5,0.5,13.36,19.18,0.397,-14.55,0.918,58
77,mom3_skip1_ma3-12_w7-3,3,1,3,12,0.7,0.3,14.49,22.12,0.389,-22.23,0.652,57
78,mom6_skip0_ma1-6_w7-3,6,0,1,6,0.7,0.3,13.64,20.21,0.388,-16.21,0.841,55
79,mom6_skip0_ma6-12_w3-7,6,0,6,12,0.3,0.7,14.44,22.2,0.386,-26.01,0.555,55
80,mom6_skip1_ma6-12_w3-7,6,1,6,12,0.3,0.7,14.76,23.02,0.385,-27.87,0.53,54
81,mom18_skip0_ma6-12_w3-7,18,0,6,12,0.3,0.7,14.39,22.42,0.38,-19.27,0.747,48
82,mom3_skip0_ma1-12_w3-7,3,0,1,12,0.3,0.7,12.94,19.09,0.379,-16.07,0.805,58
83,mom12_skip1_ma1-12_w5-5,12,1,1,12,0.5,0.5,13.74,21.01,0.378,-16.02,0.858,48
84,mom12_skip0_ma3-12_w5-5,12,0,3,12,0.5,0.5,13.67,20.89,0.377,-16.22,0.843,49
85,mom12_skip1_ma1-12_w3-7,12,1,1,12,0.3,0.7,13.46,20.49,0.375,-14.92,0.902,48
86,mom9_skip1_ma3-12_w5-5,9,1,3,12,0.5,0.5,14.39,22.92,0.372,-17.08,0.843,50
87,mom9_skip1_ma6-12_w3-7,9,1,6,12,0.3,0.7,14.47,23.29,0.369,-19.45,0.744,50
88,mom3_skip0_ma3-12_w3-7,3,0,3,12,0.3,0.7,12.93,19.8,0.365,-15.45,0.837,58
89,mom9_skip0_ma1-6_w7-3,9,0,1,6,0.7,0.3,13.55,21.55,0.361,-22.12,0.613,54
90,mom3_skip1_ma1-6_w3-7,3,1,1,6,0.3,0.7,12.96,20.13,0.36,-17.49,0.741,57
91,mom9_skip0_ma3-12_w3-7,9,0,3,12,0.3,0.7,13.38,21.19,0.36,-21.24,0.63,52
92,mom6_skip0_ma1-6_w5-5,6,0,1,6,0.5,0.5,12.64,19.68,0.354,-16.23,0.779,55
93,mom9_skip1_ma1-12_w3-7,9,1,1,12,0.3,0.7,13.23,21.6,0.347,-14.13,0.936,50
94,mom9_skip1_ma1-6_w7-3,9,1,1,6,0.7,0.3,13.38,22.09,0.345,-24.16,0.554,54
95,mom12_skip0_ma6-12_w7-3,12,0,6,12,0.7,0.3,13.11,21.49,0.344,-20.59,0.637,49
96,mom12_skip0_ma1-12_w7-3,12,0,1,12,0.7,0.3,12.66,20.33,0.343,-18.87,0.671,49
97,mom6_skip1_ma1-6_w3-7,6,1,1,6,0.3,0.7,12.31,19.7,0.338,-17.46,0.705,54
98,mom12_skip1_ma3-12_w5-5,12,1,3,12,0.5,0.5,12.99,21.64,0.336,-19.63,0.662,48
99,mom6_skip1_ma1-6_w5-5,6,1,1,6,0.5,0.5,12.64,20.79,0.335,-21.3,0.593,54
100,mom9_skip1_ma6-12_w7-3,9,1,6,12,0.7,0.3,13.64,23.48,0.334,-20.46,0.666,50
101,mom9_skip1_ma1-12_w7-3,9,1,1,12,0.7,0.3,13.19,22.82,0.327,-15.87,0.831,50
102,mom9_skip1_ma1-6_w5-5,9,1,1,6,0.5,0.5,12.6,21.3,0.325,-23.11,0.545,54
103,mom3_skip0_ma3-12_w5-5,3,0,3,12,0.5,0.5,11.95,19.77,0.321,-14.69,0.813,58
104,mom18_skip0_ma1-6_w3-7,18,0,1,6,0.3,0.7,11.65,19.08,0.318,-17.97,0.648,54
105,mom3_skip1_ma1-12_w7-3,3,1,1,12,0.7,0.3,12.41,21.91,0.308,-22.82,0.544,57
106,mom24_skip0_ma1-6_w3-7,24,0,1,6,0.3,0.7,11.08,18.19,0.306,-16.05,0.691,54
107,mom3_skip0_ma1-6_w7-3,3,0,1,6,0.7,0.3,11.25,18.98,0.301,-19.12,0.588,58
108,mom6_skip1_ma1-12_w3-7,6,1,1,12,0.3,0.7,12.05,21.42,0.3,-24.48,0.492,54
109,mom9_skip1_ma1-6_w3-7,9,1,1,6,0.3,0.7,11.6,20.19,0.299,-20.96,0.553,54
110,mom12_skip1_ma1-6_w5-5,12,1,1,6,0.5,0.5,11.84,20.91,0.298,-17.8,0.665,54
111,mom9_skip0_ma1-6_w5-5,9,0,1,6,0.5,0.5,11.64,20.5,0.295,-21.15,0.55,54
112,mom9_skip0_ma1-12_w5-5,9,0,1,12,0.5,0.5,11.84,21.16,0.295,-24.59,0.481,52
113,mom9_skip1_ma1-12_w5-5,9,1,1,12,0.5,0.5,12.02,22.2,0.288,-16.28,0.738,50
114,mom3_skip0_ma3-12_w7-3,3,0,3,12,0.7,0.3,11.06,19.41,0.285,-17.38,0.636,58
115,mom12_skip0_ma3-12_w7-3,12,0,3,12,0.7,0.3,11.51,20.97,0.284,-17.34,0.664,49
116,mom12_skip1_ma6-12_w3-7,12,1,6,12,0.3,0.7,11.91,22.25,0.284,-19.82,0.601,48
117,mom3_skip1_ma1-6_w7-3,3,1,1,6,0.7,0.3,11.94,22.37,0.283,-22.81,0.523,57
118,mom3_skip0_ma6-12_w7-3,3,0,6,12,0.7,0.3,11.05,19.63,0.282,-19.25,0.574,58
119,mom9_skip0_ma1-12_w3-7,9,0,1,12,0.3,0.7,11.41,21.24,0.276,-22.28,0.512,52
120,mom3_skip1_ma1-12_w5-5,3,1,1,12,0.5,0.5,11.38,21.1,0.276,-23.34,0.488,57
121,mom3_skip1_ma1-6_w5-5,3,1,1,6,0.5,0.5,11.1,21.13,0.264,-20.05,0.554,57
122,mom12_skip1_ma6-12_w5-5,12,1,6,12,0.5,0.5,11.59,22.92,0.262,-25.89,0.448,48
123,mom9_skip0_ma1-12_w7-3,9,0,1,12,0.7,0.3,11.07,21.68,0.256,-26.2,0.423,52
124,mom6_skip0_ma1-6_w3-7,6,0,1,6,0.3,0.7,10.15,18.72,0.251,-18.3,0.555,55
125,mom9_skip1_ma6-12_w5-5,9,1,6,12,0.5,0.5,11.39,23.46,0.249,-21.92,0.52,50
126,mom12_skip1_ma1-12_w7-3,12,1,1,12,0.7,0.3,10.74,21.17,0.248,-18.62,0.577,48
127,mom9_skip0_ma3-12_w5-5,9,0,3,12,0.5,0.5,10.67,21.46,0.241,-23.68,0.451,52
128,mom9_skip0_ma6-12_w7-3,9,0,6,12,0.7,0.3,10.62,21.73,0.236,-27.77,0.382,52
129,mom3_skip0_ma1-12_w5-5,3,0,1,12,0.5,0.5,9.93,19.14,0.235,-19.22,0.516,58
