window,rebal_date,period_end_date,n_stocks,turnover_pct,raw_ret_pct,tc_drag_bp,net_ret_pct,spy_ret_pct,excess_ret_pct,model_nav,spy_nav,tickers
IS,2020-07-31,2020-09-30,10,40.0,-1.88,4.0,-1.92,2.9739,-4.8939,6.130043,3.614707,"ADBE, DHI, ORLY, TSCO, LNG, AME, BMRN, AKAM, MKTX, UNH"
IS,2020-09-30,2020-11-30,10,50.0,4.45,5.0,4.4,8.1131,-3.7131,6.399765,3.907973,"HUM, TGT, DHI, ORLY, TSCO, POOL, COST, MKTX, UNH, DG"
IS,2020-11-30,2021-01-31,10,70.0,6.4,7.0,6.33,2.648,3.682,6.80487,4.011456,"CLX, TMO, HD, QDEL, DHI, POOL, COST, BMRN, MNST, MPWR"
IS,2021-01-31,2021-03-31,10,50.0,-0.8,5.0,-0.85,7.4467,-8.2967,6.747029,4.310178,"TXN, ABT, CLX, AMD, TMO, HD, ADBE, CCI, BMRN, MPWR"
IS,2021-03-31,2021-05-31,10,90.0,7.67,9.0,7.58,5.9824,1.5976,7.258453,4.56803,"ORCL, CDW, LBRDK, LEN, AON, CI, COO, IDXX, CCI, CRL"
IS,2021-05-31,2021-07-31,10,70.0,7.59,7.0,7.52,4.7387,2.7813,7.804289,4.784497,"ATO, TGT, DHR, LEN, AON, BRO, IDXX, DHI, POOL, BBY"
IS,2021-07-31,2021-09-30,10,80.0,-5.81,8.0,-5.89,-1.8233,-4.0667,7.344616,4.697263,"EPAM, META, CDW, ATO, TER, PHM, DHI, ORLY, QRVO, MPWR"
IS,2021-09-30,2021-11-30,10,70.0,2.76,7.0,2.69,6.1565,-3.4665,7.542187,4.98645,"FICO, EPAM, META, ZTS, CDW, AMAT, MRNA, REGN, DGX, LBTYK"
IS,2021-11-30,2022-01-31,10,90.0,-3.57,9.0,-3.66,-0.8933,-2.7667,7.266143,4.941908,"MSFT, FICO, CHTR, LEN, BIO, WDC, PTC, DHI, FDS, STLD"
IS,2022-01-31,2022-03-31,10,60.0,-1.74,6.0,-1.8,0.6964,-2.4964,7.135352,4.976322,"CHTR, LBRDK, NOC, JBHT, MMC, LRCX, BIO, WDC, DHI, TSN"
IS,2022-03-31,2022-05-31,10,70.0,-3.05,7.0,-3.12,-8.571,5.451,6.912729,4.549802,"CHTR, KDP, NOC, K, MMC, EXPD, MPWR, CF, AWK, FTNT"
IS,2022-05-31,2022-07-31,10,80.0,2.37,8.0,2.29,0.2033,2.0867,7.07103,4.559054,"RGEN, FAST, CHTR, PEP, PHM, WSO, DHI, POOL, MPWR, BLDR"
IS,2022-07-31,2022-09-30,10,70.0,-14.37,7.0,-14.44,-12.9476,-1.4924,6.049974,3.968767,"ADM, CHTR, LBRDK, GWW, IEX, DHI, CHRW, ON, MPWR, VRSK"
IS,2022-09-30,2022-11-30,10,40.0,16.17,4.0,16.13,14.1385,1.9915,7.025834,4.529892,"CHTR, LBRDK, CSL, GWW, HD, CTRA, DHI, CHRW, MPWR, AVGO"
IS,2022-11-30,2023-01-31,10,60.0,-1.95,6.0,-2.01,0.1635,-2.1735,6.884615,4.537298,"ADM, PSX, TXN, GWW, IEX, EOG, CTRA, DHI, NTAP, AVGO"
IS,2023-01-31,2023-03-31,10,50.0,2.5,5.0,2.45,1.1003,1.3497,7.053288,4.587222,"LPLA, PSX, XEL, ADP, GWW, PCAR, IEX, NTAP, MPWR, AVGO"
IS,2023-03-31,2023-05-31,10,60.0,-0.34,6.0,-0.4,2.0665,-2.4665,7.025075,4.682015,"RGEN, CDNS, LPLA, TW, GWW, PCAR, WSO, NVR, MTD, AVGO"
IS,2023-05-31,2023-07-31,10,70.0,11.39,7.0,11.32,9.9654,1.3546,7.820314,5.148599,"FCNCA, ED, OKE, ADP, GWW, GEN, LNG, AME, MTD, AVGO"
IS,2023-07-31,2023-09-30,10,40.0,-4.3,4.0,-4.34,-6.2916,1.9516,7.480912,4.824672,"CTAS, ADP, GWW, SNA, BRO, GEN, LSCC, LNG, AME, AVGO"
IS,2023-09-30,2023-11-30,10,50.0,9.18,5.0,9.13,6.7652,2.3648,8.163919,5.151071,"NOW, LW, HEI, ADP, GWW, SNA, BRO, AME, RSG, V"
IS,2023-11-30,2024-01-31,10,50.0,4.48,5.0,4.43,6.2309,-1.8009,8.525581,5.472029,"CDNS, IR, HWM, AEE, ATO, ADP, SNA, AME, RSG, V"
IS,2024-01-31,2024-03-31,10,20.0,9.15,2.0,9.13,8.6595,0.4705,9.303966,5.945881,"CDNS, IR, CTAS, ATO, ADP, SNA, BRO, AME, RSG, V"
IS,2024-03-31,2024-05-31,10,60.0,5.07,6.0,5.01,0.8221,4.1879,9.770095,5.99476,"CDNS, PANW, CPNG, CTAS, HWM, HEI, TJX, LSCC, AME, RSG"
IS,2024-05-31,2024-07-31,10,80.0,6.45,8.0,6.37,4.7817,1.5883,10.39245,6.281409,"PAYC, DKNG, CTAS, OMC, ATO, ADP, PAYX, MLM, RSG, SMCI"
IS,2024-07-31,2024-09-30,10,40.0,4.97,4.0,4.93,4.4861,0.4439,10.904798,6.563199,"MEDP, DKNG, CTAS, ATO, ADP, PAYX, RJF, EME, RSG, V"
IS,2024-09-30,,10,30.0,10.71,3.0,10.68,5.0178,5.6622,12.06943,6.892526,"MEDP, OKTA, CTAS, HEI, PAYX, RJF, EME, RSG, MELI, V"
OOS,2025-04-30,2025-06-30,10,100.0,14.84,10.0,14.74,11.7461,2.9939,1.1474,1.117461,"PHR, CRS, CR, URBN, WDFC, RSG, SBAC, MELI, MSCI, PM"
OOS,2025-06-30,2025-08-31,10,80.0,2.26,8.0,2.18,4.4024,-2.2224,1.172413,1.166655,"MSFT, OKTA, CW, PSN, CRS, APP, CR, HWM, AMZN, RBC"
OOS,2025-08-31,2025-10-31,10,70.0,2.68,7.0,2.61,6.0307,-3.4207,1.203013,1.237013,"MSFT, EHC, CR, HWM, SEIC, IDXX, EME, FIX, BMRN, PM"
OOS,2025-10-31,2025-12-31,10,70.0,5.95,7.0,5.88,0.2749,5.6051,1.27375,1.240413,"TW, APP, CR, LLY, GL, IDXX, UHS, FIX, GOOGL, MA"
OOS,2025-12-31,,10,40.0,6.37,4.0,6.33,0.5968,5.7332,1.354379,1.247817,"CR, HEI, LLY, MU, GL, UHS, FIX, RL, MA, PM"
