ticker,momentum_18m,roe_ttm,sector_rs_3m,analyst_rev_3m,macro_hy,composite
MHO,2.2719584459013658,0.5643032876392649,1.5891455937964527,2.142870778296239,0.11626436737571065,1.1615866287331393
UPCS,-0.16047069538643674,1.5546581834811664,0.9618912349328478,2.164462251992886,0.11626436737571065,1.1313295242040482
HOV,2.2837790252714876,0.8435224647554859,1.5891455937964527,1.7163725324362678,0.11626436737571065,1.1271988788750047
BKE,1.4991884982042445,0.8160906327816938,1.5891455937964527,1.7163725324362678,0.11626436737571065,1.081454292427867
GIII,1.374637795764789,0.4905579872583718,1.5891455937964527,1.9829339360987497,0.11626436737571065,1.0612210873639445
CMLS,-0.16047069538643674,1.6225563363135724,0.9618912349328478,1.7163725324362678,0.11626436737571065,1.0410340271070477
EAT,4.605034143610772,1.6225563363135724,1.5891455937964527,0.06369182972888195,0.11626436737571065,1.0357705123940104
RLRN,-0.16047069538643674,1.6225563363135724,0.40633962627559933,2.164462251992886,0.11626436737571065,1.0155118284456481
AGL,-0.16047069538643674,0.41853139877070644,1.5891455937964527,2.164462251992886,0.11626436737571065,1.0104723230654202
LOW,0.5591161273863341,1.6225563363135724,1.5891455937964527,0.7834076196175822,0.11626436737571065,1.0044071116813547
BSET,0.22722749699344594,0.2797660432169355,1.5891455937964527,2.164462251992886,0.11626436737571065,0.9969004607403937
ROAD,4.707578054628523,0.5009102532296745,1.5891455937964527,0.9166883214488232,0.11626436737571065,0.9770934299959583
CMPP,-0.16047069538643674,0.27195101104410985,1.5891455937964527,2.164462251992886,0.11626436737571065,0.9756594809803535
DENN,-0.9026622815382381,1.6225563363135724,1.5891455937964527,0.9700006021813189,0.11626436737571065,0.9756340245940136
HRB,1.7882557758869453,1.6225563363135724,1.5891455937964527,0.38356551412386014,0.11626436737571065,0.9709015940516263
ANF,4.971007075970876,0.8329478473252458,1.5891455937964527,0.49019007558885286,0.11626436737571065,0.9678304762690312
HD,0.8792455787559315,1.6225563363135724,1.5891455937964527,0.5435023563213492,0.11626436737571065,0.9634360842169792
MAR,1.2032257987100778,1.6225563363135724,1.5891455937964527,0.38356551412386014,0.11626436737571065,0.941650095192783
CCME,-0.16047069538643674,1.1805247315563354,0.9618912349328478,1.7163725324362678,0.11626436737571065,0.9360515209772041
AFRM,4.971007075970876,0.18461200022100185,0.9110999972061005,1.6097479709712752,0.11626436737571065,0.9187098835448898
BONT,-0.16047069538643674,1.3435446559915987,1.5891455937964527,0.8367199003500786,0.11626436737571065,0.9148241631402153
ORLY,0.5250385035425587,1.6225563363135724,1.5891455937964527,0.4102216544901089,0.11626436737571065,0.9140715637713911
HVT,-0.17177721477528524,0.4564356396814404,1.5891455937964527,1.7163725324362678,0.11626436737571065,0.9124879459175802
USM,4.971007075970876,0.38418788181802116,0.9618912349328478,1.316530426942546,0.11626436737571065,0.9085329076774612
HLT,1.425511079426899,1.6225563363135724,1.5891455937964527,0.19697253156012343,0.11626436737571065,0.9084485258697366
ZEUS,-0.11497116313525906,0.4179476358252355,1.5891455937964527,1.7163725324362678,0.11626436737571065,0.9061873475837329
PBPB,0.453019062655544,1.6225563363135724,1.5891455937964527,0.38356551412386014,0.11626436737571065,0.9041397583900562
RGS,0.39079337311652135,1.6225563363135724,1.5891455937964527,0.38356551412386014,0.11626436737571065,0.9010284739131051
BBWI,-0.03562702611064562,1.6225563363135724,1.5891455937964527,0.4635339352226053,0.11626436737571065,0.8986999539626987
TPX,0.9218330815846449,1.4946796276063015,1.5891455937964527,0.38356551412386014,0.11626436737571065,0.8972097410185345
CNS,1.6891828432155476,0.6758147072331313,0.9110999972061005,1.7163725324362678,0.11626436737571065,0.8966026481704399
PFIS,0.7246734585237897,0.421759805281949,0.9110999972061005,2.164462251992886,0.11626436737571065,0.894460448117143
VVV,-0.10321217645014394,1.6225563363135724,1.5891455937964527,0.43687779485635647,0.11626436737571065,0.8889898631087397
CVNA,4.971007075970876,0.41200778836902396,1.5891455937964527,0.5701584966875968,0.11626436737571065,0.8868497122778801
ESOA,4.971007075970876,0.9645630160153666,1.5891455937964527,,0.11626436737571065,0.8826689358805823
SAFT,0.2943504098610935,0.4341675217328254,0.9110999972061005,2.164462251992886,0.11626436737571065,0.8758911283410913
ACTG,0.01994443027759683,0.49170305966413524,0.9110999972061005,2.164462251992886,0.11626436737571065,0.8758355196206026
SBH,0.2715103698964601,0.6336081081202338,1.5891455937964527,1.289874286576297,0.11626436737571065,0.875437453013638
GAP,3.8373147814342485,0.6490637767666128,1.5891455937964527,0.5168462159551004,0.11626436737571065,0.8738042281215082
TLRD,-0.16047069538643674,1.6225563363135724,1.5891455937964527,0.38356551412386014,0.11626436737571065,0.8734652704879572
MRC,0.9464088134265012,0.5795864528903112,1.5891455937964527,1.183249725111305,0.11626436737571065,0.8710288987250978
UPST,3.2870570322735064,0.06097713871183651,0.9110999972061005,1.876309374633757,0.11626436737571065,0.8684574351214339
TDS,4.971007075970876,0.26742792533574944,0.9618912349328478,1.2632181462100496,0.11626436737571065,0.8681407513389536
TMHC,1.1894103421289244,0.5152686508408467,1.5891455937964527,1.1832497251113043,0.11626436737571065,0.8679034971734709
SFSW,-0.16047069538643674,0.4919499928683844,0.9110999972061005,2.164462251992886,0.11626436737571065,0.86687340997341
VRTV,0.951553168014085,0.6803414698167386,1.5891455937964527,1.049969023280064,0.11626436737571065,0.8635612662895836
HWCC,-0.16047069538643674,0.24482636149471734,1.5891455937964527,1.7163725324362678,0.11626436737571065,0.862796068317676
CTAS,1.547882767799959,0.752634313053245,1.5891455937964527,0.8367199003500786,0.11626436737571065,0.8599006298516761
PFBI,-0.16047069538643674,0.4613369210163988,0.9110999972061005,2.164462251992886,0.11626436737571065,0.8596028054085635
AZO,0.43691981527538853,1.6225563363135724,1.5891455937964527,0.19697253156012284,0.11626436737571065,0.8590189626621608
ENFC,-0.16047069538643674,0.44871623464231103,0.9110999972061005,2.164462251992886,0.11626436737571065,0.8566053923947177
MSCI,0.41765159780142125,1.4159481336630777,0.9110999972061005,1.049969023280064,0.11626436737571065,0.8505369412522473
HAFC,1.6547917121543998,0.4579942321680178,0.9110999972061005,1.7163725324362678,0.11626436737571065,0.843150728789418
GPI,1.5156801371350104,0.5467507317631011,1.5891455937964527,0.9700006021813194,0.11626436737571065,0.8410473144469393
JEF,3.0110644915696305,0.4296069097960269,0.9110999972061005,1.4498111287737867,0.11626436737571065,0.8409140453269924
CDK,-0.16047069538643674,0.8856306955159494,0.40633962627559933,2.164462251992886,0.11626436737571065,0.8404919887562127
CHWY,0.08168849010947846,1.0574997564241881,1.5891455937964527,0.7567514792513347,0.11626436737571065,0.8400039587567995
SAH,1.1601838314823802,0.5733490533540253,1.5891455937964527,0.9966567425475676,0.11626436737571065,0.8359204338791362
WSM,3.7014499370152834,0.8614399326783199,1.5891455937964527,0.17031639119387468,0.11626436737571065,0.8351494895487992
HOOD,4.971007075970876,0.44511774816401123,0.9110999972061005,0.9966567425475676,0.11626436737571065,0.834970831930724
CLUB,-0.16047069538643674,1.6225563363135724,0.9618912349328478,0.8367199003500786,0.11626436737571065,0.8321165269865779
MCBC,1.1279018392247233,0.5142794056842833,0.9110999972061005,1.7163725324362678,0.11626436737571065,0.8301739638530472
BXG,-0.16047069538643674,0.5137245833545155,1.5891455937964527,1.2632181462100496,0.11626436737571065,0.8190352292806512
CPNG,0.9792826078524474,0.6430076784888498,1.5891455937964527,0.890032181082575,0.11626436737571065,0.8180959628192246
ACNB,1.063162685697091,0.4705854984672955,0.9110999972061005,1.7163725324362678,0.11626436737571065,0.816559703212631
INDB,1.1936415068354493,0.43763038318141856,0.9110999972061005,1.7163725324362678,0.11626436737571065,0.8152568043891532
BOH,1.9508639881969545,0.47966716995210046,0.9110999972061005,1.5031234095062824,0.11626436737571065,0.8124549986193939
BCC,2.1050473052453693,0.5664947140810261,1.5891455937964527,0.7034391985188383,0.11626436737571065,0.8118965352831251
BCF,-0.16047069538643674,0.47755739911106787,1.5891455937964527,1.2632181462100496,0.11626436737571065,0.8104455230228323
MUSA,1.6500934230246265,0.9750185046597287,1.5891455937964527,0.38356551412386014,0.11626436737571065,0.8102032413907225
AKA,4.971007075970876,-0.264754089310345,1.5891455937964527,0.9166883214488225,0.11626436737571065,0.808419599709821
DCOM,2.3333469663573627,0.42887265832241256,0.9110999972061005,1.4498111287737867,0.11626436737571065,0.8068537843413957
BKW,-0.16047069538643674,0.4881069370538962,1.5891455937964527,1.2365620058438018,0.11626436737571065,0.8066202049472703
GABC,1.1294860431089038,0.4874813788449673,0.9110999972061005,1.6364041113375227,0.11626436737571065,0.8048961426619667
CRMT,-0.9507949922821586,0.2984756047967905,1.5891455937964527,1.5830918306050275,0.11626436737571065,0.8043673820722126
PAG,0.29094114145848016,0.5430776452393781,1.5891455937964527,1.0766251636463116,0.11626436737571065,0.804261339961664
YUM,0.03263741078939984,1.3686481780460753,1.5891455937964527,0.30359709302511617,0.11626436737571065,0.8038249881972668
SHBI,0.8367769000931675,0.4486707989520116,0.9110999972061005,1.7163725324362678,0.11626436737571065,0.8000356727975549
VSCO,1.48283868534006,0.7187361740283544,1.5891455937964527,0.6234707774200932,0.11626436737571065,0.7979509510143981
EQH,1.7654878220759083,1.6225563363135724,0.9110999972061005,0.33025323339136375,0.11626436737571065,0.796065700496898
NVDA,4.677808012530375,1.4817026382282534,0.40633962627559933,0.35690937375761195,0.11626436737571065,0.7946792019653479
AIT,2.1348683688423638,0.5923560305839927,1.5891455937964527,0.5968146370538455,0.11626436737571065,0.7942063177844936
PJT,2.6143393765798155,0.95511661641512,0.9110999972061005,0.810063759983831,0.11626436737571065,0.7939463448119218
USCB,1.8336515791075476,0.471005089237722,0.9110999972061005,1.449811128773786,0.11626436737571065,0.7918754673212907
NXEO,-0.16047069538643674,0.39527717127782047,1.5891455937964527,1.2632181462100496,0.11626436737571065,0.7909039689124361
CATY,1.4270128014736305,0.47227844123975676,0.9110999972061005,1.529779549872531,0.11626436737571065,0.79083844955103
ORN,4.582080215142554,0.273109472903673,1.5891455937964527,0.38356551412386014,0.11626436737571065,0.7900991859545556
CC,-0.16047069538643674,-0.06292646119021351,1.5891455937964527,1.7163725324362678,0.11626436737571065,0.7897047729300049
UFCS,0.7466526099525512,0.42255368984274094,0.9110999972061005,1.7163725324362678,0.11626436737571065,0.7893266448770723
EVGO,1.012622380956019,,1.5891455937964527,1.3964988480412897,0.11626436737571065,0.787334461235996
EQBK,2.023992226078853,0.4083973073773687,0.9110999972061005,1.449811128773786,0.11626436737571065,0.7865231514780221
TJX,1.0613923316543292,0.994486549774912,1.5891455937964527,0.38356551412386014,0.11626436737571065,0.7853918475370637
CAVA,4.286008943580505,0.4436457182515052,1.5891455937964527,0.2502848122926186,0.11626436737571065,0.7841438139616436
JILL,0.3155361661990395,1.119051132859929,1.5891455937964527,0.38356551412386014,0.11626436737571065,0.7776831277469908
RVLV,2.336336845476546,0.4530363578985448,1.5891455937964527,0.6234707774200932,0.11626436737571065,0.7775221526903926
GOGO,-1.0102138422190179,1.6225563363135724,0.9618912349328478,0.7834076196175822,0.11626436737571065,0.776967702970981
PZZA,-0.6235338736231731,1.6225563363135724,1.5891455937964527,0.06369182972888195,0.11626436737571065,0.774342111532313
DEST,-0.16047069538643674,-0.1277473691778162,1.5891455937964527,1.7163725324362678,0.11626436737571065,0.7743098072829492
CCS,0.651351721605899,0.4989539923580499,1.5891455937964527,0.9166883214488237,0.11626436737571065,0.7738175013878162
BBW,1.9233524634964583,0.761104031012984,1.5891455937964527,0.38356551412386014,0.11626436737571065,0.7730615059232122
SMRA,-0.16047069538643674,-0.1332540370289789,1.5891455937964527,1.7163725324362678,0.11626436737571065,0.7730019736682981
SBUX,-0.00014557921603331177,1.4832119709159868,1.5891455937964527,0.06369182972888313,0.11626436737571065,0.7724172394707438
TPC,4.971007075970876,0.32318810008694,1.5891455937964527,0.17031639119387468,0.11626436737571065,0.7707925362561261
SAL,0.08492125498427382,0.4834374355162266,0.9110999972061005,1.7163725324362678,0.11626436737571065,0.7706999667261113
PRIM,3.7608621688022983,0.4918123039999045,1.5891455937964527,0.2502848122926198,0.11626436737571065,0.7693260393379783
MCD,-0.02525494609824,1.2860156675088497,1.5891455937964527,0.2502848122926186,0.11626436737571065,0.7686434824263256
TIO,-1.4809752944718233,0.7518226857857255,0.9618912349328478,1.7163725324362678,0.11626436737571065,0.768209555152415
HWC,1.1141988758527082,0.4677944857836204,0.9110999972061005,1.5031234095062824,0.11626436737571065,0.7678019805121675
CRI,-0.2689136261290161,0.6388391827536475,1.5891455937964527,0.9433444618150714,0.11626436737571065,0.7673578000570088
WCC,0.8637654783854158,0.5066820560806441,1.5891455937964527,0.8367199003500786,0.11626436737571065,0.7672811043499562
TPL,4.881763594797816,0.7692468284060021,0.9110999972061005,0.38356551412386014,0.11626436737571065,0.7618801476789133
TOL,2.5195894239990517,0.5802492372549648,1.5891455937964527,0.38356551412386014,0.11626436737571065,0.7599203404308124
AHG,-0.16047069538643674,0.5371516394304754,0.40633962627559933,2.164462251992886,0.11626436737571065,0.7577282129359126
URBN,0.8981711304465739,0.5119008995263984,1.5891455937964527,0.7834076196175822,0.11626436737571065,0.7575791955974128
