date,period_ret
2005-01-31,0.0373657471264367
2005-02-28,-0.005588238021438708
2005-03-31,-0.032504454545454524
2005-04-30,0.02642777011494258
2005-05-31,0.014136127222982235
2005-06-30,0.03993769279907095
2005-07-31,-0.025102977072310406
2005-08-31,0.02536550232288034
2005-09-30,-0.0440236393728223
2005-10-31,0.04321997934595515
2005-11-30,-0.01485155555555558
2005-12-31,0.004311352564102452
2006-01-31,0.013385780720798861
2006-02-28,0.02149274658236503
2006-03-31,0.02589071835443046
2006-04-30,-0.030078589743589706
2006-05-31,0.007344682926829271
2006-06-30,-0.013585824347554266
2006-07-31,0.01254039725609754
2006-08-31,0.025610654475308667
2006-09-30,0.027967748934068937
2006-10-31,0.03406800805523596
2006-11-30,0.004496955862758264
2006-12-31,0.027022080006491384
2007-01-31,-0.012342715839013273
2007-02-28,0.007372679351422581
2007-03-31,0.028040425407897668
2007-04-30,0.022975495693519206
2007-05-31,-0.008718601953348701
2007-06-30,-0.012713286309077363
2007-07-31,0.0085821269820619
2007-08-31,0.03426209407066953
2007-09-30,0.018954313058011218
2007-10-31,-0.026865826182495053
2007-11-30,-0.005349080612874804
2007-12-31,-0.05255883778587061
2008-01-31,-0.011677995248950732
2008-02-29,-0.0029871053451045594
2008-03-31,0.031452526982061975
2008-04-30,0.02399203568053648
2008-05-31,-0.040399281303323605
2008-06-30,-0.00799960109618893
2008-07-31,0.009760419387125208
2008-08-31,-0.08052761950815675
2008-09-30,-0.13095922983390695
2008-10-31,-0.03170206075855636
2008-11-30,0.015539813207944599
2008-12-31,-0.014515605272077679
2009-01-31,-0.05143546384854477
2009-02-28,0.03676369306771851
2009-03-31,0.04268004053162071
2009-04-30,0.0216501476560995
2009-05-31,0.010305964656403377
2009-06-30,0.03896194627882697
2009-07-31,0.023458969064429513
2009-08-31,0.015215563524523435
2009-09-30,-0.022718584832284106
2009-10-31,0.03591856066321147
2009-11-30,0.0203188264491172
2009-12-31,-0.017319897885897165
2010-01-31,0.031501572351790366
2010-02-28,0.07467409224109235
2010-03-31,0.018951421502548027
2010-04-30,-0.05827588291139236
2010-05-31,-0.05237534079844207
2010-06-30,0.030643103149265844
2010-07-31,-0.02370453844437263
2010-08-31,0.10110578749999997
2010-09-30,0.037750299000699476
2010-10-31,0.022361331415419943
2010-11-30,0.04310271226874386
2010-12-31,0.015469955128205036
2011-01-31,0.029646525641025566
2011-02-28,0.004298458455047045
2011-03-31,0.016348923919753018
2011-04-30,-0.007246818127070204
2011-05-31,-0.005520522131887973
2011-06-30,-0.026540139329268297
2011-07-31,-0.04164179451219513
2011-08-31,-0.049643937430297706
2011-09-30,0.06245973824248945
2011-10-31,-0.00032043198543074176
2011-11-30,-0.010040758195737465
2011-12-31,0.050226738446586955
2012-01-31,0.05234231950067471
2012-02-29,0.03010165549315554
2012-03-31,0.005725319126819017
2012-04-30,-0.04789834210526312
2012-05-31,0.031237494921081493
2012-06-30,0.008471426219512218
2012-07-31,0.029595362726704155
2012-08-31,0.024150445347786875
2012-09-30,-0.005474145987654265
2012-10-31,0.00908267987804881
2012-11-30,0.0036704142495908925
2012-12-31,0.06121490673806337
2013-01-31,0.009903572958500731
2013-02-28,0.038300468263297034
2013-03-31,0.017465420511313515
2013-04-30,0.026107721170395958
2013-05-31,-0.00514226820728289
2013-06-30,0.05467910384394732
2013-07-31,-0.029066959092182706
2013-08-31,0.0410994750830564
2013-09-30,0.03569244886522827
2013-10-31,0.029311144909688017
2013-11-30,0.02108370718816072
2013-12-31,-0.006979037908496724
