bucket,n_obs,avg_fwd_1m,avg_fwd_3m,avg_fwd_12m,avg_fwd_vol_3m,hit_rate_1m,max_dd_6m,std_fwd_1m
Low,60,0.0030073059437966333,0.0006920416280621289,0.021130449608308368,0.1501374123727862,0.5833333333333334,-0.08325316518760474,0.04670606043380047
Neutral,64,0.005457871249616973,0.026857331002880958,0.13467106907334797,0.17815781670744915,0.59375,-0.06794421105033287,0.06513023819787798
High,56,0.021925929000718897,0.056433799282688005,0.19312922456177287,0.17994079423881534,0.6607142857142857,-0.07747500654091577,0.06085301876386942
